Label,Niveau
KS1c1U3_1,niedrig
KS1c1U7_1,niedrig
KS1c1U2_1,niedrig
KS1c1U6_1,niedrig
KS1c1U1_1,mittel
KS1c1U4_1,mittel
KS1c1U5_1,mittel
KS1c1U9_1,mittel
KS1c1U8_1,mittel
KS1c2U1_1,niedrig
KS1c2U2_1,niedrig
KS1c2U5_1,niedrig
KS1c2U6_1,niedrig
KS1c2U7_1,niedrig
KS1c2U8_1,niedrig
KS1c2U14_1,niedrig
KS1c2U3_1,niedrig
KS1c2U12_1,niedrig
KS1c2U4_1,niedrig
KS1c2U10_1,niedrig
KS1c2U9_1,mittel
KS1c2U11_1,mittel
KS1c2U13_1,mittel
KS1c4U1_1,niedrig
KS1c4U2_1,niedrig
KS1c4U9_1,niedrig
KS1c4U12_1,niedrig
KS1c4U5_1,niedrig
KS1c4U7_1,mittel
KS1c4U8_1,mittel
KS1c4U11_1,mittel
KS1c4U10_1,mittel
KS1c4U6_1,mittel
KS1c5U8_1,niedrig
KS1c5U7_1,niedrig
KS1c5U1_1,mittel
KS1c5U2_1,mittel
KS1c5U3_1,mittel
KS1c5U9_1,mittel
KS1c5U4_1,mittel
KS1c5U5_1,mittel
KS1c5U6_1,hoch
KS1c5U10_1,hoch
KS1c6U4_1,niedrig
KS1c6U7_1,niedrig
KS1c6U1_1,mittel
KS1c6U3_1,mittel
KS1c6U9_1,mittel
KS1c6U6_1,mittel
KS1c6U10_1,mittel
KS1c6U8_1,mittel
KS1c6U2_1,hoch
KS1c6U5_1,hoch
KS2a1U1-6,niedrig
KS2a1U1_9,niedrig
KS2a1U1_2,mittel
KS2a1U1_3,mittel
KS2a1U1_4,mittel
KS2a1U1_5,mittel
KS2a1U1_8,mittel
KS2a1U1_7,mittel
KS2a1U1_1,hoch
KS2a1U1_10,hoch
KS2c1U6_1,niedrig
KS2c1U8_1,niedrig
KS2c1U1_1,mittel
KS2c1U4_1,mittel
KS2c1U8_1,mittel
KS2c1U5_1,mittel
KS2c1U10_1,mittel
KS2c1U7_1,mittel
KS2c1U2_1,hoch
KS2c1U3_1,hoch
KS2c3U1_1,niedrig
KS2c3U3_1,niedrig
KS2c3U6_1,niedrig
KS2c3U4_1,niedrig
KS2c3U9_1,mittel
KS2c3U10_1,mittel
KS2c3U5_1,mittel
KS2c3U8_1,mittel
KS2c3U7_1,hoch
KS2c3U2_1,hoch
KS2c4U1_1,niedrig
KS2c4U2_1,niedrig
KS2c4U3_1,niedrig
KS2c4U4_1,niedrig
KS2c4U7_1,mittel
KS2c4U8_1,mittel
KS2c4U9_1,mittel
KS2c4U10_1,mittel
KS2c4U11_1,mittel
KS2c4U12_1,mittel
KS2c4U13_1,mittel
KS2c4U5_1,hoch
KS2c4U6_1,hoch
KS2c5U1_1,niedrig
KS2c5U2_1,niedrig
KS2c5U3_1,niedrig
KS2c5U11_1,niedrig
KS2c5U8_1,mittel
KS2c5U9_1,mittel
KS2c5U7_1,mittel
KS2c5U5_1,mittel
KS2c5U6_1,mittel
KS2c5U12_1,mittel
KS2c5U4_1,hoch
KS2c5U10_1,hoch
KS2c6U1_1,mittel
KS2c6U2_1,mittel
KS2c6U9_1,mittel
KS2c6U10_1,mittel
KS2c6U11_1,mittel
KS2c6U3_1,mittel
KS2c6U4_1,mittel
KS2c6U5_1,mittel
KS2c6U6_1,mittel
KS2c6U7_1,hoch
KS2c6U8_1,hoch
KS2D1U1_1,niedrig
KS2D1U2_1,niedrig
KS2D1U3_1,niedrig
KS2D1U9_1,niedrig
KS2D1U10_1,mittel
KS2D1U8_1,mittel
KS2D1U7_1,mittel
KS2D1U5_1,hoch
KS2D1U6_1,hoch
KS2D2U1_1,niedrig
KS2D2U2_1,niedrig
KS2D2U6_1,niedrig
KS2D2U5_1,niedrig
KS2D2U7_1,niedrig
KS2D2U3_1,mittel
KS2D2U4_1,hoch
KS2D2U5_1,niedrig
KS2D2U6_1,niedrig
KS2D2U8_1,mittel
KS2D2U2_1,mittel
KS2D2U4_1,mittel
KS2D2U7_1,mittel
KS2D2U3_1,hoch
KS2D2U1_1,hoch
KS2D2U9_1,hoch
KS3c1U5_1,niedrig
KS3c1U6_1,niedrig
KS3c1U8_1,niedrig
KS3c1U1_1,niedrig
KS3c1U2_1,niedrig
KS3c1U7_1,mittel
KS3c1U9_1,mittel
KS3c1U10_1,mittel
KS3c1U3_1,mittel
KS3c1U4_1,hoch
KS3c1U11_1,hoch
KS3c2U6_1,niedrig
KS3c2U7_1,niedrig
KS3c2U8_1,niedrig
KS3c3U7_1,niedrig
KS3c2U9_1,mittel
KS3c2U10_1,mittel
KS3c2U11_1,mittel
KS3c2U1_1,mittel
KS3c2U3_1,mittel
KS3c2U4_1,mittel
KS3c2U2_1,hoch
KS3c5U1_1,niedrig
KS3c5U2_1,niedrig
KS3c5U3_1,niedrig
KS3c5U6_1,niedrig
KS3c5U7_1,niedrig
KS3c5U5_1,mittel
KS3c5U8_1,mittel
KS3c5U9_1,mittel
KS3c5U4_1,hoch
KS3c4U1_1,niedrig
KS3c4U2_1,niedrig
KS3c4U3_1,niedrig
KS3c4U7_1,niedrig
KS3c4U11_1,niedrig
KS3c4U12_1,niedrig
KS3c4U9_1,niedrig
KS3c4U4_1,mittel
KS3c4U6_1,mittel
KS3c4U8_1,mittel
KS3c4U10_1,mittel
KS3c4U5_1,hoch
KS3c6U3_1,niedrig
KS3c6U9_1,niedrig
KS3c6U10_1,niedrig
KS3c6U1_1,mittel
KS3c6U4_1,mittel
KS3c6U6_1,mittel
KS3c6U2_1,mittel
KS3c6U5_1,hoch
KS3c6U8_1,hoch
KS3D1U1_1,niedrig
KS3D1U2_1,niedrig
KS3D1U3_1,niedrig
KS3D1U6_1,niedrig
KS3D1U7_1,niedrig
KS3D1U8_1,niedrig
KS3D1U4_1,mittel
KS3D1U5_1,mittel
KS3D2U1_1,niedrig
KS3D2U3_1,niedrig
KS3D2U5_1,niedrig
KS3D2U7_1,mittel
KS3D2U4_1,mittel
KS3D2U10_1,mittel
KS3D2U6_1,mittel
KS3D2U2_1,hoch
KS3D3U9_1,niedrig
KS3D3U3_1,niedrig
KS3D3U5_1,mittel
KS3D3U6_1,mittel
KS3D3U7_1,mittel
KD1c2U5_1,niedrig
KD1c2U6_1,niedrig
KD1c2U7_1,niedrig
KD1c2U8_1,niedrig
KD1c2U9_1,niedrig
KD1c2U1_1,mittel
KD1c2U2_1,mittel
KD1c2U3_1,mittel
KD1c2U4_1,mittel
KD1c2U10_1,mittel
KD1c2U10_1,hoch
KD1c3U1_1,mittel
KD1c3U2_1,mittel
KD1c3U3_1,mittel
KD1c3U4_1,mittel
KD1c3U6_1,mittel
KD1c3U9_1,mittel
KD1c3U5_1,mittel
KD1c3U7_1,hoch
KD1c3U8_1,hoch
KD2c4U1_1,niedrig
KD2c4U2_1,niedrig
KD2c4U3_1,niedrig
KD2c4U4_1,niedrig
KD2c4U5_1,niedrig
KD2c4U6_1,niedrig
KD2c4U7_1,mittel
KD2c4U10_1,mittel
KD2c4U9_1,hoch
KD2c4U8_1,hoch
KD2c1U1_1,niedrig
KD2c1U2_1,niedrig
KD2c1U3_1,niedrig
KD2c1U4_1,niedrig
KD2c1U5_1,mittel
KD2c1U6_1,mittel
KD2c1U9_1,mittel
KD2c1U10_1,mittel
KD2c1U7_1,hoch
KD2c1U8_1,hoch
KD2c2U1_1,niedrig
KD2c2U2_1,niedrig
KD2c2U3_1,niedrig
KD2c2U4_1,niedrig
KD2c2U6_1,niedrig
KD2c2U8_1,niedrig
KD2c2U7_1,mittel
KD2c2U5_1,mittel
KD2c3U1_1,niedrig
KD2c3U2_1,niedrig
KD2c3U3_1,niedrig
KD2c3U8_1,niedrig
KD2c3U9_1,niedrig
KD2c3U6_1,mittel
KD2c3U5_1,mittel
KD2c3U4_1,hoch
KD2c3U7_1,hoch
KD2c1U11_1,niedrig
KD2c5U1_1,mittel
KD2c5U8_1,mittel
KD2c5U9_1,mittel
KD2c5U2_1,mittel
KD2c5U4_1,mittel
KD2c5U5_1,mittel
KD2c5U6_1,mittel
KD2c5U7_1,mittel
KD2c5U10_1,hoch
KD2c5U3_1,hoch
KD2D1U1_1,niedrig
KD2D1U2_1,niedrig
KD2D1U3_1,niedrig
KD2D1U5_1,niedrig
KD2D1U6_1,niedrig
KD2D1U7_1,mittel
KD2D1U8_1,mittel
KD2D2U1_1,niedrig
KD2D2U2_1,niedrig
KD2D2U3_1,niedrig
KD2D2U6_1,niedrig
KD2D2U8_1,niedrig
KD2D2U4_1,mittel
KD2D2U7_1,mittel
KD2D2U5_1,mittel
KD2D3U6_1,mittel
KD2D3U4_1,mittel
KD2D3U8_1,mittel
KD2D3U9_1,mittel
KD2D3U4_1,mittel
KD2D3U3_1,hoch
KD2D3U2_1,hoch
KD3c2U1_1,niedrig
KD3c2U2_1,niedrig
KD3c2U3_1,niedrig
KD3c2U4_1,niedrig
KD3c2U5_1,mittel
KD3c2U6_1,mittel
KD3c2U7_1,mittel
KD3c2U9_1,mittel
KD3c2U8_1,mittel
KD3c2U11_1,mittel
KD3c2U12_1,hoch
KD3c2U10_1,hoch
KD3c3U1_1,niedrig
KD3c3U2_1,niedrig
KD3c3U3_1,niedrig
KD3c3U4_1,niedrig
KD3c3U11_1,niedrig
KD3c3U5_1,mittel
KD3c3U9_1,mittel
KD3c3U10_1,mittel
KD3c3U8_1,hoch
KD3c3U6_1,hoch
KD3c3U7_1,hoch
KD3c4U1_1,niedrig
KD3c4U2_1,niedrig
KD3c4U3_1,niedrig
KD3c4U4_1,niedrig
KD3c4U7_1,mittel
KD3c4U8_1,mittel
KD3c4U5_1,mittel
KD3c4U9_1,hoch
KD3c4U10_1,hoch
KD3c5U1_1,niedrig
KD3c5U2_1,niedrig
KD3c5U3_1,niedrig
KD3c5U4_1,niedrig
KD3c5U6_1,mittel
KD3c5U5_1,mittel
KD3c5U10_1,mittel
KD3c5U8_1,hoch
KD3c5U9_1,hoch
KD3c5U7_1,hoch
KD3c6U2_1,mittel
KD3c6U3_1,mittel
KD3c6U7_1,mittel
KD3c6U9_1,mittel
KD3c6U10_1,mittel
KD3c6U5_1,mittel
KD3c6U8_1,mittel
KD3c6U1_1,hoch
KD3c6U4_1,hoch
KD3c4U6_1,hoch
KD3c6U6_1,hoch
